municipio,uf,codigo_ibge,latitude,longitude,aeroporto_mais_proximo,codigo_iata,codigo_icao,codigo_principal,distancia_km
Presidente Olegário,MG,3153400.0,-18.41474197387495,-46.41778868799062,Patos de Minas Airport,POJ,SNPD,POJ,29.72
Alto Jequitibá,MG,3153509.0,-20.422927110928597,-41.96717511267703,Itaperuna Airport,ITP,SDUN,ITP,89.06
Prudente De Morais,MG,3153608.0,-19.48356038244745,-44.15839066706174,Tancredo Neves International Airport,CNF,SBCF,CNF,25.04
Quartel Geral,MG,3153707.0,-19.267690095515896,-45.55886338595915,Patos de Minas Airport,POJ,SNPD,POJ,118.27
Queluzito,MG,3153806.0,-20.74238447771105,-43.88002730283431,Das Bandeirinhas Airport,\N,SNKF,\N,8.6
Raposos,MG,3153905.0,-19.9655987691945,-43.804774198126815,Pampulha - Carlos Drummond de Andrade Airport,PLU,SBBH,PLU,19.86
Raul Soares,MG,3154002.0,-20.101958851994297,-42.45416753674347,Usiminas Airport,IPN,SBIP,IPN,70.28
Recreio,MG,3154101.0,-21.53378461875975,-42.47139456728593,Cristiano Ferreira Varella Airport,\N,SNBM,\N,46.03
Reduto,MG,3154150.0,-20.2426797034932,-41.98519885763015,Usiminas Airport,IPN,SBIP,IPN,100.64
Resende Costa,MG,3154200.0,-20.9173692442954,-44.239403504313564,Das Bandeirinhas Airport,\N,SNKF,\N,50.05
Resplendor,MG,3154309.0,-19.325483930853153,-41.253967108168155,Coronel Altino Machado de Oliveira Airport,GVR,SBGV,GVR,90.24
Ressaquinha,MG,3154408.0,-21.055300917004345,-43.75870609388336,Major Brigadeiro Doorgal Borges Airport,\N,SBBQ,\N,23.56
Riachinho,MG,3154457.0,-16.216826172419246,-46.00274681830868,Paracatu Airport,\N,SNZR,\N,147.64
Riacho Dos Machados,MG,3154507.0,-15.9980341607319,-43.04456373177917,Janaúba Airport,\N,SNAP,\N,41.98
Ribeirão Das Neves,MG,3154606.0,-19.76602201549795,-44.08582364914096,Pampulha - Carlos Drummond de Andrade Airport,PLU,SBBH,PLU,17.02
Ribeirão Vermelho,MG,3154705.0,-21.1904143250473,-45.06478210845798,Major Brigadeiro Trompowsky Airport,VAG,SBVG,VAG,61.35
Rio Acima,MG,3154804.0,-20.0951301629183,-43.790854376836705,Pampulha - Carlos Drummond de Andrade Airport,PLU,SBBH,PLU,31.85
Rio Casca,MG,3154903.0,-20.226512866494105,-42.65223019915441,Usiminas Airport,IPN,SBIP,IPN,85.79
Rio Doce,MG,3155009.0,-20.244645703406288,-42.89568130883443,Usiminas Airport,IPN,SBIP,IPN,96.06
Rio Do Prado,MG,3155108.0,-16.609407845473598,-40.57189393379658,9 de Maio - Teixeira de Freitas Airport,TXF,SNTF,TXF,139.91
Rio Espera,MG,3155207.0,-20.858080098641054,-43.46533340031729,Das Bandeirinhas Airport,\N,SNKF,\N,36.99
Rio Manso,MG,3155306.0,-20.2616823651625,-44.31020504456541,Pampulha - Carlos Drummond de Andrade Airport,PLU,SBBH,PLU,59.11
Rio Novo,MG,3155405.0,-21.48324914987885,-43.12866891528665,Zona da Mata Regional Airport,IZA,SDZY,IZA,5.66
Rio Paranaíba,MG,3155504.0,-19.191238301812948,-46.24275309162745,Patos de Minas Airport,POJ,SNPD,POJ,63.29
Rio Pardo De Minas,MG,3155603.0,-15.6130780188597,-42.54123197865489,Janaúba Airport,\N,SNAP,\N,84.75
