Ano;Cód.;Município;Produto Interno Bruto a preços correntes (Mil Reais);Participação do valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social, no valor adicionado bruto a preços correntes total (%)
2008;1303601;Santa Isabel do Rio Negro (AM);45895;13,91
2008;1303700;Santo Antônio do Içá (AM);70999;10,58
2008;1303809;São Gabriel da Cachoeira (AM);141440;24,25
2008;1303908;São Paulo de Olivença (AM);81699;12,68
2008;1303957;São Sebastião do Uatumã (AM);26590;16,13
2008;1304005;Silves (AM);41284;15,21
2008;1304062;Tabatinga (AM);160006;29,2
2008;1304104;Tapauá (AM);64379;12,46
2008;1304203;Tefé (AM);239097;29,48
2008;1304237;Tonantins (AM);47150;9,53
2008;1304260;Uarini (AM);41964;13,89
2008;1304302;Urucará (AM);61896;15,94
2008;1304401;Urucurituba (AM);51939;14,63
2008;1400027;Amajari (RR);55048;5,09
2008;1400050;Alto Alegre (RR);102266;8,33
2008;1400100;Boa Vista (RR);3671265;43,68
2008;1400159;Bonfim (RR);87302;9,44
2008;1400175;Cantá (RR);103291;10,9
2008;1400209;Caracaraí (RR);141968;15,51
2008;1400233;Caroebe (RR);54900;11,48
2008;1400282;Iracema (RR);48733;14,45
2008;1400308;Mucajaí (RR);108650;18,93
2008;1400407;Normandia (RR);64925;11,5
2008;1400456;Pacaraima (RR);84886;21,57
2008;1400472;Rorainópolis (RR);183780;13,18
2008;1400506;São João da Baliza (RR);50617;17,6
2008;1400605;São Luiz (RR);43120;16,37
2008;1400704;Uiramutã (RR);41113;2,68
2008;1500107;Abaetetuba (PA);458889;34,93
2008;1500131;Abel Figueiredo (PA);45160;22,83
2008;1500206;Acará (PA);352565;13,33
2008;1500305;Afuá (PA);121092;14,25
2008;1500347;Água Azul do Norte (PA);211249;12,01
2008;1500404;Alenquer (PA);214101;21,97
2008;1500503;Almeirim (PA);536320;19,35
2008;1500602;Altamira (PA);640103;49,09
2008;1500701;Anajás (PA);71020;16,46
2008;1500800;Ananindeua (PA);3346302;60,5
2008;1500859;Anapu (PA);83946;16,15
2008;1500909;Augusto Corrêa (PA);108443;17,52
2008;1500958;Aurora do Pará (PA);96127;13,83
2008;1501006;Aveiro (PA);53191;11,84
2008;1501105;Bagre (PA);54468;14,69
2008;1501204;Baião (PA);106934;15,57
2008;1501253;Bannach (PA);27256;12,94
2008;1501303;Barcarena (PA);2313664;34,12
2008;1501402;Belém (PA);15803597;67,71
2008;1501451;Belterra (PA);80642;16,5
2008;1501501;Benevides (PA);513538;29,36
2008;1501576;Bom Jesus do Tocantins (PA);61463;23,18
2008;1501600;Bonito (PA);38080;15,13
2008;1501709;Bragança (PA);395128;38,27
2008;1501725;Brasil Novo (PA);85319;19,65
